,Log_Mel_Spectrogram,MFCC,Spectral_Centroid,Bandwidth,Spectral_Contrast,Zero_Crossing_Rate,Energy,Gender,mult,id
0,-34.400976289622974,-37.32410058471093,1124.330606241915,781.2525278513133,22.869571504228915,0.039103505043053405,0.059399225,1,0.8942804046480858,0
1,-32.21079387822768,-34.83175923401121,1069.0159504827932,765.044445733908,22.533079557532883,0.037550951086956524,0.085583895,1,0.8461385683034173,0
2,-35.64433131173579,-38.59224136153541,1167.997072200111,791.982407713676,23.51301098306205,0.042096258625960864,0.058754187,1,0.9898097914180383,0
3,-33.90426769931473,-37.1158806353415,1143.3829170151391,781.1901834907292,23.055993791703596,0.04056286885642415,0.06855921,1,0.9352172525274023,0
4,-34.83019744631678,-36.81092581029673,1066.8016083216673,747.946934113293,22.480915768428822,0.03784859955495356,0.061886754,1,0.8508711785479036,0
5,-37.55324172973633,-23.881732940673828,2464.4237742168193,3795.3742360321057,22.70077369184818,0.04940276249274381,0.046365418,1,1.1214809310999025,0
6,-33.2867506247156,-36.66650533169935,1165.4479417349426,838.5665277900548,23.208197924514877,0.03958139330979102,0.055662904,1,0.9186128100616989,0
7,-31.32410350560399,-35.70839326422296,1215.6645781746402,853.4978488701369,23.32398544247844,0.0398335100231303,0.07084237,1,0.92907620790231,1
8,-32.23208401995084,-36.40780294960976,1229.8661864306764,888.9525115902203,23.428552851704367,0.039228031878869966,0.05633649,1,0.9190560181424487,1
9,-31.552263139796107,-36.845547437952085,1279.6584322518595,904.9103242259497,23.642640130336776,0.042290728002120276,0.06214986,1,0.999864463004086,1
10,-29.324738644176357,-35.40060229009948,1319.983784351682,888.3784306861005,24.064693620869235,0.04591666666666667,0.0833774,1,1.1049705154249123,1
11,-30.727301979193765,-35.74814187234747,1237.525008991693,885.0418616968705,23.239450088977154,0.04074247383777006,0.07622197,1,0.9468326872543149,1
12,-32.77775584144336,-37.24783868988177,1163.767298133576,850.1608544612826,23.797705486976636,0.03732195874854876,0.06418567,1,0.8881769824950545,1
13,-32.51244622940908,-36.4875727407834,1154.8400330124384,852.5872784967509,23.258236420562362,0.03696273945433436,0.06004637,1,0.8596881329805568,1
14,-34.702634883762364,-37.45714379571198,1226.2541961387817,848.2101128328366,23.16068962400377,0.04140942458397833,0.06179967,1,0.9590708302981136,2
15,-32.78905889026036,-34.73607043030282,1167.34252483221,879.3702739705242,22.838100194873697,0.04040565136416409,0.06092145,1,0.9227883142939145,2
16,-33.280503748840026,-35.14169334728159,1275.5407362295036,912.0777260852217,22.255920883223407,0.04211737782048722,0.06407359,1,0.9373610285815918,2
17,-31.713919965664417,-34.91596152579597,1220.530955517391,857.1081785926713,22.99537422715859,0.04349350117308436,0.07337139,1,1.000149335924436,2
18,-30.008536982025387,-32.08826295672733,1103.6352535575836,843.6440658074897,23.555119255569966,0.03601282078415248,0.08307832,1,0.8482862883001804,2
19,-29.570121504311107,-32.49983990244099,1147.4416556019137,874.7964265678693,23.574124717336275,0.036549655381309436,0.093651615,1,0.8616261343346495,2
20,-33.69842343960969,-35.96932104656475,1109.0511126807671,840.2561605432436,22.66828531000818,0.036848038711784055,0.07064439,1,0.8352818546329472,2
21,-26.632644653320312,-3.1217167377471924,1290.2760995586664,2194.5046704492606,21.52560826607049,0.02014338979375482,0.097064346,0,0.4335987178511287,3
