,Log_Mel_Spectrogram,MFCC,Spectral_Centroid,Bandwidth,Spectral_Contrast,Zero_Crossing_Rate,Energy,Gender,STID
0,-31.30087692051592,-36.223361670483925,1390.7313494720513,981.1402180778733,23.817565505400538,0.04880998452012384,0.06427294760942459,0,0
1,-27.80940055847168,-9.260946273803711,1173.5860680272424,1570.0141942748367,23.56443439295193,0.024836965617827084,0.11651671677827835,0,0
2,-20.683252334594727,0.7920240163803101,1779.733487975963,2726.274532997208,19.70634944197202,0.0370025751870683,0.16431783139705658,0,0
3,-31.43167383582709,-36.616344762348426,1233.668542875348,854.2679102968261,22.090771982915918,0.04215553024373882,0.07339765131473541,0,0
4,-29.377817153930664,-3.8114068508148193,1357.8906695832466,2502.810594410954,21.930285923835445,0.024619955061379577,0.11743325740098953,0,0
5,-29.4000458867767,-35.388523309216446,1214.3086836256446,847.5226164354891,23.184644302175663,0.04227827798471362,0.0961366519331932,0,0
6,-29.509279251098633,-5.850064754486084,1154.9707508961444,1438.0945165211467,21.999714054491395,0.029939370469239814,0.07995228469371796,0,0
7,-22.74202537536621,-1.9723289012908936,2191.1921207903542,3056.059940110589,20.234273605361285,0.04251702681260757,0.06910514831542969,0,0
8,-21.85057258605957,1.3989391326904297,1732.4807813727514,2044.4889305663582,20.55710155718984,0.04360316560259857,0.16116614639759064,0,0
9,-22.878082275390625,2.582063913345337,991.2340920273991,1386.7355535975355,20.6506455015447,0.01822963571685879,0.14349350333213806,0,0
10,-30.971849507413808,-35.99518729319876,1171.208858632575,854.1270986473023,24.66088634326139,0.04104626225490196,0.06889284402132034,0,0
11,-30.30567733443345,-34.4594510704979,1056.3375845673402,797.7633121254107,21.704064528598586,0.037905418733092874,0.08998152613639832,0,0
12,-26.752059936523438,0.21394230425357819,1749.931152626304,3535.9877819031035,20.03214594033466,0.01735824543979409,0.10939712077379227,0,0
13,-25.91277313232422,-3.9376044273376465,1639.0867072547753,2630.6919278083806,20.070098935528133,0.03438163097993827,0.07454057037830353,0,0
14,-26.73102378845215,-8.816851615905762,1867.8995288654196,2156.63226444857,24.001550062636166,0.04896829406545741,0.1025528535246849,0,0
15,-27.122161865234375,-4.352944374084473,1509.2178031285032,2063.431636575308,19.682216398565078,0.03497751470736122,0.08552753180265427,0,0
16,-35.952405084841445,-38.558711217590336,1247.3945110732557,886.7166692109892,20.905175667163466,0.04577386134530792,0.04735317826271057,0,0
17,-26.07793426513672,-6.591179847717285,2067.2239551889184,2568.083165444886,21.801953276952272,0.049665120101634534,0.09587642550468445,0,0
18,-31.548622054866865,-39.322087070148136,1221.5625786412704,877.0140247190207,21.433104457500676,0.039254290783382065,0.05219532176852226,0,0
19,-37.866609887773926,-40.49712284999421,1122.341799134197,797.4404884277108,23.21903861061521,0.037906765305155424,0.046446915715932846,0,0
